"","lizard_id","position","species","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","temp","cort"
"39",2106,"F3","delicata","A_28","CL569_22",78,"9/4/2023","13/4/2023",4,"Blue",1,"C",1,"",1,1,"C",NA,0,"","Hot","Control"
"40",2486,"F3","delicata","B_28","CL677_23",45,"2/4/2023","13/4/2023",11,"Blue",1,"L",1,"",1,1,"L",0,0,"","Hot","CORT"
"41",1258,"G2","delicata","A_28","CL334_22",129,"28/3/2023","13/4/2023",16,"Blue",1,"L",1,"",1,1,"C",0,0,"","Hot","Control"
"42",1328,"G2","delicata","A_23","CL357_22",108,"5/4/2023","13/4/2023",8,"Red",1,"L",0,"",0,1,"L",0,1,"","Cold","Control"
"43",1408,"G2","delicata","B_28","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",1,"L",0,"",0,1,"R",1,1,"","Hot","CORT"
"44",1223,"G4","delicata","A_23","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",1,"R",NA,"",0,1,"L",0,1,"","Cold","Control"
"45",1334,"G4","delicata","A_28","CL358_22",127,"31/3/2023","13/4/2023",13,"Blue",1,"R",0,"",0,1,"L",0,1,"","Hot","Control"
"46",1619,"G4","delicata","B_23","CL440_22",80,"7/4/2023","13/4/2023",6,"Red",1,"R",0,"",1,1,"R",0,1,"","Cold","CORT"
"47",2242,"G4","delicata","B_28","CL604_22",66,"1/4/2023","13/4/2023",12,"Blue",1,"L",NA,"",0,1,"C",0,1,"","Hot","CORT"
"48",1255,"A1","delicata","A_23","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",2,"C",NA,"",0,2,"C",1,1,"","Cold","Control"
"49",1382,"A1","delicata","B_28","CL373_22",118,"1/4/2023","13/4/2023",12,"Blue",2,"R",1,"",1,2,"C",0,0,"","Hot","CORT"
"50",1410,"A1","delicata","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",2,"L",0,"",0,2,"L",0,1,"","Hot","Control"
"51",2073,"A1","delicata","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"Blue",2,"C",1,"",1,2,"R",0,1,"","Cold","CORT"
"52",1207,"A3","delicata","B_23","CL320_22",118,"30/3/2023","13/4/2023",14,"Red",2,"R",0,"",0,2,"R",0,1,"","Cold","CORT"
"53",1381,"A3","delicata","A_28","CL373_22",122,"30/3/2023","13/4/2023",14,"Red",2,"C",NA,"",0,2,"C",1,1,"","Hot","Control"
"54",1401,"A3","delicata","B_28","CL377_22",115,"1/4/2023","13/4/2023",12,"Red",2,"R",0,"",1,2,"L",0,0,"","Hot","CORT"
"55",1198,"B2","delicata","A_23","CL318_22",120,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"R",0,1,"","Cold","Control"
"56",1233,"B2","delicata","B_23","CL327_22",115,"31/3/2023","13/4/2023",13,"Blue",2,"L",NA,"More than one cricket eaten",0,2,"L",1,1,"","Cold","CORT"
"57",1240,"B2","delicata","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"Blue",2,"C",NA,"",0,2,"C",0,0,"","Hot","Control"
"58",1284,"B2","delicata","B_28","CL345_22",129,"21/3/2023","13/4/2023",23,"Blue",2,"R",NA,"",0,2,"C",0,1,"","Hot","CORT"
"59",1205,"B4","delicata","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"Red",2,"L",NA,"More than one cricket eaten",1,2,"L",0,1,"","Hot","Control"
"60",1296,"B4","delicata","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"Blue",2,"C",1,"",1,2,"C",1,1,"","Cold","CORT"
"61",1399,"B4","delicata","A_23","CL377_22",97,"3/4/2023","13/4/2023",10,"Red",2,"R",0,"",1,2,"R",0,1,"","Cold","Control"
"62",1202,"C2","delicata","B_28","CL319_22",134,"26/3/2023","13/4/2023",18,"Blue",2,"L",NA,"Wrong shelter",1,2,"R",0,1,"","Hot","CORT"
"63",1322,"C2","delicata","B_23","CL356_22",108,"26/3/2023","13/4/2023",18,"Red",2,"C",NA,"",0,2,"L",0,1,"","Cold","CORT"
"64",2205,"C2","delicata","A_28","CL595_22",69,"9/4/2023","13/4/2023",4,"Blue",2,"C",1,"",1,2,"C",0,1,"","Hot","Control"
"65",1222,"C4","delicata","A_28","CL325_22",134,"2/4/2023","13/4/2023",11,"Red",2,"C",NA,"",0,2,"C",0,1,"","Hot","Control"
"66",1390,"C4","delicata","A_23","CL374_22",101,"30/3/2023","13/4/2023",14,"Red",2,"R",0,"",1,2,"R",0,1,"","Cold","Control"
"67",1454,"C4","delicata","B_28","CL392_22",115,"28/3/2023","13/4/2023",16,"Red",2,"C",0,"",1,2,"L",1,1,"","Hot","CORT"
