"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort","first_non_na","Associative_Trial"
"61",1534,"F2","guichenoti","Female","A_23","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",3,"R",0,"",0,3,"C",1,1,"",NA,"Cold","Control",3,1
"62",1580,"F2","guichenoti","Female","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",3,"C",0,"",1,3,"L",0,1,"",NA,"Hot","CORT",3,1
"63",1613,"F2","guichenoti","Male","B_23","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",3,"C",NA,"",0,3,"R",0,1,"",NA,"Cold","CORT",3,1
"64",1182,"F3","delicata","Male","B_23","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",3,"C",0,"",1,3,"C",1,1,"",NA,"Cold","CORT",3,1
"65",1424,"F3","delicata","Female","A_23","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",3,"R",1,"",1,3,"C",1,1,"",NA,"Cold","Control",3,1
"66",2486,"F3","delicata","Female","B_28","CL677_23",45,"2/4/2023","13/4/2023",11,"Blue",3,"C",0,"",1,3,"L",0,1,"",NA,"Hot","CORT",3,1
"67",1340,"F4","guichenoti","Female","B_28","CL360_22",122,"6/4/2023","13/4/2023",7,"Red",3,"C",0,"",0,3,"L",0,1,"",NA,"Hot","CORT",3,1
"68",1417,"F4","guichenoti","Female","B_28","CL381_22",97,"20/3/2023","13/4/2023",24,"Red",3,"R",NA,"",0,3,"R",0,1,"",NA,"Hot","CORT",3,1
"69",1467,"F4","guichenoti","Female","A_28","CL397_22",111,"20/3/2023","13/4/2023",24,"Red",3,"L",0,"",1,3,"C",0,1,"",NA,"Hot","Control",3,1
"70",1421,"G1","guichenoti","Male","B_23","CL382_22",97,"20/3/2023","13/4/2023",24,"Red",3,"L",0,"",0,3,"L",1,1,"",NA,"Cold","CORT",3,1
