Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:44:52 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1083.147949	1133.209351	1083.147949	0.000000
191.392532	1112.729614	1119.556274	1058.117188	-799.987488
191.775177	1108.178589	1076.321289	1053.566162	171.428299
192.157791	1074.045776	1146.862427	1105.903076	43.750019
192.540390	1196.923950	1101.352051	1112.729614	88.095284
192.922943	1142.311401	1117.280762	1105.903076	145.455032
193.305481	1085.423462	1274.291626	1130.933838	24.096373
193.687958	1201.474976	1078.596802	1067.219238	109.259224
194.070419	1180.995239	1158.240112	1110.454102	310.001068
194.452866	1130.933838	1167.342163	1121.831787	-24.999916
194.835251	1140.035889	1199.199463	1087.698975	-88.461380
195.217621	1155.964600	1133.209351	1094.525513	269.999634
195.599960	1092.250000	1165.066650	1071.770264	-28.125072
195.982254	1162.791138	1099.076538	1094.525513	107.142830
196.364517	1101.352051	1133.209351	1094.525513	-21.428490
196.746750	1085.423462	1192.372925	1067.219238	-17.021332
197.128952	1162.791138	1133.209351	1083.147949	269.230469
197.511139	1165.066650	1110.454102	1126.382813	70.833237
197.893280	1151.413574	1174.168701	1149.138062	-10.000000
198.275391	1110.454102	1140.035889	1076.321289	-115.384552
198.657471	1199.199463	1171.893188	1185.546387	49.999775
199.039520	1146.862427	1137.760376	1089.974487	625.001343
199.421539	1180.995239	1174.168701	1130.933838	733.335144
199.803513	1124.107300	1119.556274	1126.382813	-50.000000
200.185471	1206.026001	1137.760376	1155.964600	73.333252
200.567383	1117.280762	1180.995239	1074.045776	-67.857399
200.949265	1126.382813	1158.240112	1085.423462	-128.571320
201.331131	1165.066650	1208.301514	1089.974487	-173.684280
201.712967	1183.270874	1144.586914	1105.903076	199.999680
202.094742	1124.107300	1169.617676	1135.484863	24.999933
202.476517	1160.515625	1149.138062	1194.648438	-300.001068
202.858231	1153.689087	1133.209351	1178.719727	-122.221497
203.239944	1165.066650	1149.138062	1151.413574	85.714287
203.621582	1171.893188	1137.760376	1151.413574	59.999786
204.003235	1174.168701	1140.035889	1087.698975	253.333145
204.384827	1153.689087	1203.750488	1055.841675	-195.454803
204.766388	1174.168701	1092.250000	1071.770264	125.000076
205.147934	1133.209351	1228.781250	1110.454102	-23.809561
205.529449	1060.392700	1231.056763	1071.770264	6.666643
205.910904	1135.484863	1135.484863	1185.546387	0.000000
206.292343	1167.342163	1126.382813	1124.107300	105.555542
206.673767	1169.617676	1149.138062	1133.209351	177.778381
207.055115	1185.546387	1231.056763	1171.893188	-30.000187
207.436462	1112.729614	1162.791138	1083.147949	-59.090622
207.817780	1137.760376	1171.893188	1101.352051	-106.666641
208.199051	1126.382813	1158.240112	1103.627563	-71.428680
208.580307	1174.168701	1142.311401	1049.015137	392.856781
208.961517	1112.729614	1115.005249	1069.494751	-1899.903442
209.342712	1051.290649	1130.933838	1051.290649	0.000000
209.723846	1117.280762	1121.831787	998.953613	-2600.010742
210.104965	1160.515625	1151.413574	1105.903076	600.002686
210.486069	1099.076538	1149.138062	1089.974487	-18.181730
210.867111	1140.035889	1162.791138	1149.138062	40.000320
211.248123	1137.760376	1183.270874	1089.974487	-104.999702
211.629120	1167.342163	1185.546387	1060.392700	-587.498047
212.010071	1121.831787	1217.403687	1060.392700	-64.285721
212.390991	1165.066650	1146.862427	1083.147949	449.998322
212.771881	1117.280762	1192.372925	1060.392700	-75.757652
213.152756	1110.454102	1167.342163	1044.463989	-115.999931
213.533569	1149.138062	1124.107300	1096.801025	209.090866
213.914368	1142.311401	1108.178589	1112.729614	86.666718
214.295135	1180.995239	1099.076538	1155.964600	30.555464
214.675858	1140.035889	1185.546387	1110.454102	-64.999916
215.056549	1130.933838	1094.525513	1055.841675	206.249985
215.437225	1119.556274	1115.005249	1042.188477	1700.008057
215.817841	1171.893188	1217.403687	1060.392700	-244.999496
216.198441	1190.097412	1149.138062	1030.810913	388.889221
216.579025	1190.097412	1160.515625	1121.831787	230.769104
216.959549	1158.240112	1196.923950	1064.943726	-241.176651
217.340057	1135.484863	1151.413574	1108.178589	-171.428024
217.720535	1124.107300	1135.484863	1053.566162	-620.002136
218.100967	1144.586914	1194.648438	998.953613	-290.908661
218.481369	1153.689087	1160.515625	1035.361938	-1733.340454
218.861740	1137.760376	1212.852539	1133.209351	-6.060586
219.242065	1094.525513	1199.199463	1037.637451	-54.347870
219.622391	1099.076538	1199.199463	1046.739624	-52.272659
220.002670	1099.076538	1165.066650	1058.117188	-62.068920
220.382919	1089.974487	1251.536499	1085.423462	-2.816891
220.763123	1099.076538	1171.893188	1185.546387	118.750107
221.143295	1146.862427	1192.372925	1094.525513	-114.999649
221.523453	1112.729614	1146.862427	1060.392700	-153.333145
221.903549	1096.801025	1199.199463	1089.974487	-6.666643
222.283630	1108.178589	1165.066650	1135.484863	48.000008
222.663696	1140.035889	1144.586914	1060.392700	-1750.005371
223.043701	1169.617676	1224.230225	1083.147949	-158.333069
223.423676	1178.719727	1130.933838	1028.535400	314.285919
223.803635	1135.484863	1092.250000	1033.086426	236.842285
224.183548	1121.831787	1203.750488	1099.076538	-27.777843
224.563431	1124.107300	1187.821899	1133.209351	14.285660
224.943283	1215.128052	1265.189575	1105.903076	-218.181488
225.323105	1074.045776	1178.719727	1124.107300	47.826153
225.702881	1133.209351	1221.954712	1069.494751	-71.794853
226.082642	1080.872437	1140.035889	1101.352051	34.615314
226.462357	1089.974487	1151.413574	1053.566162	-59.259224
226.842041	1103.627563	1153.689087	1099.076538	-9.090865
227.221695	1178.719727	1208.301514	1130.933838	-161.538208
227.601318	1096.801025	1212.852539	1130.933838	29.411777
227.980911	1130.933838	1240.158813	1049.015137	-74.999969
228.360474	1083.147949	1171.893188	1078.596802	-5.128329
228.739990	1096.801025	1210.577026	1042.188477	-48.000061
229.119476	1121.831787	1228.781250	1053.566162	-63.829796
229.498932	1069.494751	1240.158813	1140.035889	41.333328
229.878372	1067.219238	1331.179688	1053.566162	-5.172395
230.257736	1153.689087	1358.485962	1124.107300	-14.444452
230.637115	1087.698975	1308.424438	1096.801025	4.123698
231.016449	1135.484863	1312.975464	1074.045776	-34.615402
231.395737	1096.801025	1237.883301	1067.219238	-20.967756
231.774994	1124.107300	1215.128052	1119.556274	-4.999987
232.154221	1140.035889	1303.873413	1076.321289	-38.888893
232.533417	1142.311401	1342.557251	1099.076538	-21.590891
232.912582	1128.658325	1231.056763	1062.668213	-64.444450
233.291702	1151.413574	1306.148926	1060.392700	-58.823582
233.670792	1155.964600	1231.056763	1146.862427	-12.121335
234.049866	1158.240112	1217.403687	1085.423462	-123.076828
234.428894	1096.801025	1144.586914	1117.280762	42.857288
234.807892	1176.444214	1226.505737	1069.494751	-213.636047
235.186874	1126.382813	1274.291626	1080.872437	-30.769211
235.565781	1101.352051	1244.709839	1155.964600	38.095280
235.944687	1126.382813	1274.291626	1074.045776	-35.384663
236.323547	1146.862427	1303.873413	1119.556274	-17.391237
236.702377	1115.005249	1256.087524	1144.586914	20.967669
237.081177	1124.107300	1258.363037	1101.352051	-16.949183
237.459946	1215.128052	1290.220337	1085.423462	-172.726913
237.838669	1233.332275	1231.056763	1071.770264	7100.026855
238.217361	1206.026001	1274.291626	1130.933838	-109.999962
238.596039	1119.556274	1342.557251	1064.943726	-24.489824
238.974670	1119.556274	1240.158813	1076.321289	-35.849152
239.353271	1137.760376	1353.934937	1146.862427	4.210510
239.731842	1149.138062	1253.812012	1103.627563	-43.478340
240.110367	1155.964600	1376.690063	1112.729614	-19.587675
240.488876	1162.791138	1303.873413	1101.352051	-43.548409
240.867340	1060.392700	1424.476074	1071.770264	3.124989
241.245789	1146.862427	1356.210449	1058.117188	-42.391247
241.624176	1083.147949	1406.271851	1058.117188	-7.746490
242.002548	1153.689087	1415.373901	1158.240112	1.739125
242.380890	1121.831787	1447.231201	1058.117188	-19.580429
242.759186	1046.739624	1542.803101	1160.515625	22.935774
243.137451	1067.219238	1699.814087	1101.352051	5.395683
243.515686	1169.617676	1699.814087	1137.760376	-6.008584
243.893890	1151.413574	1652.028076	1149.138062	-0.454544
244.272049	1115.005249	1670.232300	1219.679199	18.852459
244.650192	1105.903076	1588.313477	1085.423462	-4.245268
245.028290	1130.933838	1604.242188	1101.352051	-6.250003
245.406357	1130.933838	1558.731689	1115.005249	-3.723392
245.784393	1119.556274	1570.109375	1128.658325	2.020195
246.162384	1206.026001	1570.109375	1089.974487	-31.874983
246.540359	1162.791138	1604.242188	1083.147949	-18.041227
246.918289	1137.760376	1626.997314	1151.413574	2.790713
247.296204	1196.923950	1770.355225	1085.423462	-19.444437
247.674057	1153.689087	2018.386963	1162.791138	1.052628
248.051895	1187.821899	2195.877686	1160.515625	-2.708806
248.429703	1226.505737	2168.571289	1231.056763	0.483090
248.807465	1153.689087	2161.744873	1180.995239	2.708794
249.185196	1155.964600	2045.693237	1196.923950	4.603578
249.562897	1108.178589	1902.335449	1146.862427	4.871058
249.940567	1101.352051	1961.498901	1099.076538	-0.264549
250.318192	1160.515625	1781.732788	1149.138062	-1.831495
250.695801	1144.586914	1695.262939	1206.026001	11.157029
251.073349	1096.801025	1647.477051	1203.750488	19.421486
251.450882	1160.515625	1529.150024	1169.617676	2.469127
251.828400	1167.342163	1556.456177	1078.596802	-22.807034
252.205872	1101.352051	1683.885376	1115.005249	2.343763
252.583313	1110.454102	1736.222412	1105.903076	-0.727270
252.960693	1158.240112	1654.303589	1074.045776	-16.972492
253.338074	1128.658325	1834.069824	1101.352051	-3.870971
253.715408	1140.035889	1804.488037	1121.831787	-2.739716
254.092682	1176.444214	1890.957764	1080.872437	-13.375782
254.469955	1185.546387	1695.262939	1099.076538	-16.964300
254.847198	1085.423462	1624.721802	1112.729614	5.063274
