Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:54:55 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 43800 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	892.004150	873.799988	826.014038	362.500122
191.392532	855.595825	892.004150	896.555176	112.499962
191.775177	960.269775	844.218201	848.769287	96.078392
192.157791	967.096313	969.371887	948.892151	-799.981201
192.540390	892.004150	894.279663	917.034912	1100.005371
192.922943	939.790100	935.239075	910.208313	650.002686
193.305481	980.749451	928.412476	910.208313	134.782608
193.687958	917.034912	937.514587	910.208313	-33.333530
194.070419	967.096313	905.657288	919.310425	77.777748
194.452866	948.892151	935.239075	864.697876	616.668884
194.835251	932.963501	985.300537	930.687988	-4.347806
195.217621	917.034912	907.932800	889.728638	299.999329
195.599960	962.545288	939.790100	937.514587	109.999969
195.982254	932.963501	944.341125	921.585938	-99.999466
196.364517	973.922913	955.718750	921.585938	287.500031
196.746750	967.096313	976.198425	967.096313	0.000000
197.128952	967.096313	892.004150	951.167725	21.212051
197.511139	864.697876	919.310425	894.279663	54.166649
197.893280	962.545288	889.728638	1001.229126	-53.124989
198.275391	953.443237	907.932800	957.994263	-9.999960
198.657471	903.381775	937.514587	876.075500	-80.000069
199.039520	948.892151	935.239075	921.585938	200.000443
199.421539	917.034912	998.953613	914.759338	-2.777844
199.803513	951.167725	973.922913	935.239075	-70.000084
200.185471	953.443237	983.024963	942.065613	-38.461666
200.567383	967.096313	985.300537	935.239075	-174.999161
200.949265	951.167725	1010.331238	946.616638	-7.692387
201.331131	898.830688	964.820801	946.616638	72.413803
201.712967	923.861450	898.830688	885.177612	154.545181
202.094742	903.381775	942.065613	951.167725	123.529495
202.476517	944.341125	887.453125	914.759338	52.000046
202.858231	976.198425	973.922913	932.963501	1900.008057
203.239944	1044.463989	903.381775	857.871338	132.258102
203.621582	937.514587	1030.810913	878.351013	-63.414688
204.003235	953.443237	955.718750	901.106262	-2300.008057
204.384827	951.167725	932.963501	885.177612	362.498901
204.766388	969.371887	903.381775	912.483826	86.206947
205.147934	873.799988	901.106262	912.483826	141.666473
205.529449	923.861450	910.208313	921.585938	16.666592
205.910904	910.208313	955.718750	898.830688	-25.000034
206.292343	903.381775	978.473938	835.116150	-90.909119
206.673767	885.177612	907.932800	882.902100	-9.999973
207.055115	871.524475	985.300537	923.861450	45.999989
207.436462	948.892151	896.555176	967.096313	-34.782604
207.817780	955.718750	917.034912	905.657288	129.411835
208.199051	853.320313	910.208313	807.809875	-80.000061
208.580307	832.840637	976.198425	841.942688	6.349185
208.961517	903.381775	957.994263	917.034912	25.000029
209.342712	905.657288	905.657288	894.279663	0.000000
209.723846	955.718750	969.371887	937.514587	-133.333191
210.104965	969.371887	957.994263	857.871338	979.998474
210.486069	914.759338	946.616638	919.310425	14.285851
210.867111	912.483826	962.545288	937.514587	50.000061
211.248123	905.657288	885.177612	862.422363	211.111374
211.629120	926.136963	917.034912	912.483826	150.000671
212.010071	873.799988	971.647400	1030.810913	160.465073
212.390991	857.871338	946.616638	914.759338	64.102547
212.771881	946.616638	937.514587	983.024963	-400.001343
213.152756	876.075500	973.922913	942.065613	67.441856
213.533569	864.697876	930.687988	926.136963	93.103477
213.914368	876.075500	951.167725	910.208313	45.454525
214.295135	903.381775	896.555176	942.065613	-566.663391
214.675858	923.861450	967.096313	869.248962	-126.315857
215.056549	866.973450	901.106262	969.371887	300.000000
215.437225	832.840637	907.932800	892.004150	78.787865
215.817841	910.208313	932.963501	901.106262	-39.999893
216.198441	973.922913	855.595825	914.759338	50.000027
216.579025	880.626526	932.963501	903.381775	43.478340
216.959549	942.065613	878.351013	832.840637	171.428482
217.340057	932.963501	1003.504700	853.320313	-112.903084
217.720535	889.728638	860.146851	841.942688	161.538406
218.100967	953.443237	923.861450	882.902100	238.461380
218.481369	939.790100	948.892151	896.555176	-475.002014
218.861740	910.208313	939.790100	914.759338	15.384552
219.242065	912.483826	944.341125	962.545288	157.142822
219.622391	869.248962	935.239075	907.932800	58.620659
220.002670	896.555176	896.555176	960.269775	0.000000
220.382919	926.136963	928.412476	903.381775	-1000.002686
220.763123	944.341125	937.514587	932.963501	166.667557
221.143295	873.799988	973.922913	866.973450	-6.818157
221.523453	921.585938	928.412476	866.973450	-800.002686
221.903549	848.769287	942.065613	894.279663	48.780460
222.283630	892.004150	926.136963	848.769287	-126.666573
222.663696	932.963501	1001.229126	930.687988	-3.333321
223.043701	980.749451	939.790100	860.146851	294.444611
223.423676	862.422363	930.687988	846.493713	-23.333340
223.803635	944.341125	946.616638	937.514587	-300.000000
224.183548	980.749451	955.718750	871.524475	436.364044
224.563431	935.239075	1012.606750	953.443237	23.529417
224.943283	946.616638	987.576050	923.861450	-55.555458
225.323105	951.167725	960.269775	951.167725	0.000000
225.702881	901.106262	898.830688	903.381775	-99.997314
226.082642	853.320313	903.381775	880.626526	54.545376
226.462357	905.657288	1046.739624	926.136963	14.516116
226.842041	907.932800	1055.841675	939.790100	21.538464
227.221695	857.871338	980.749451	917.034912	48.148178
227.601318	935.239075	978.473938	960.269775	57.894714
227.980911	921.585938	1028.535400	996.678101	70.212753
228.360474	917.034912	939.790100	901.106262	-70.000084
228.739990	905.657288	957.994263	873.799988	-60.869587
229.119476	946.616638	1042.188477	880.626526	-69.047653
229.498932	971.647400	1119.556274	885.177612	-58.461529
229.878372	871.524475	1171.893188	896.555176	8.333324
230.257736	928.412476	1171.893188	960.269775	13.084116
230.637115	855.595825	1112.729614	871.524475	6.194694
231.016449	946.616638	1158.240112	880.626526	-31.182795
231.395737	853.320313	1115.005249	866.973450	5.217395
231.774994	912.483826	1083.147949	903.381775	-5.333313
232.154221	921.585938	1183.270874	857.871338	-24.347828
232.533417	894.279663	1051.290649	835.116150	-37.681129
232.912582	926.136963	1037.637451	917.034912	-8.163239
233.291702	821.463013	1030.810913	882.902100	29.347839
233.670792	910.208313	1049.015137	855.595825	-39.344238
234.049866	926.136963	1058.117188	935.239075	6.896573
234.428894	853.320313	1074.045776	841.942688	-5.154650
234.807892	932.963501	1089.974487	876.075500	-36.231861
235.186874	880.626526	1135.484863	882.902100	0.892878
235.565781	989.851563	1046.739624	914.759338	-131.999969
235.944687	957.994263	1103.627563	928.412476	-20.312515
236.323547	917.034912	1105.903076	837.391663	-42.168701
236.702377	960.269775	1039.912964	921.585938	-48.571434
237.081177	873.799988	1101.352051	989.851563	51.000011
237.459946	869.248962	1178.719727	905.657288	11.764706
237.838669	969.371887	1149.138062	951.167725	-10.126578
238.217361	955.718750	1140.035889	901.106262	-29.629631
238.596039	953.443237	1083.147949	907.932800	-35.087727
238.974670	937.514587	1133.209351	937.514587	0.000000
239.353271	901.106262	1126.382813	919.310425	8.080807
239.731842	930.687988	1169.617676	892.004150	-16.190470
240.110367	901.106262	1158.240112	964.820801	24.778744
240.488876	871.524475	1167.342163	930.687988	19.999992
240.867340	896.555176	1235.607788	926.136963	8.724836
241.245789	894.279663	1119.556274	987.576050	41.414146
241.624176	910.208313	1233.332275	917.034912	2.112687
242.002548	955.718750	1319.802124	987.576050	8.750001
242.380890	882.902100	1308.424438	987.576050	24.598932
242.759186	907.932800	1454.057739	985.300537	14.166674
243.137451	894.279663	1481.364014	914.759338	3.488370
243.515686	917.034912	1556.456177	928.412476	1.779353
243.893890	885.177612	1658.854614	942.065613	7.352939
244.272049	948.892151	1479.088501	889.728638	-11.158793
244.650192	926.136963	1567.833862	942.065613	2.482270
245.028290	844.218201	1415.373901	976.198425	23.107574
245.406357	901.106262	1369.863525	917.034912	3.398059
245.784393	907.932800	1372.139038	930.687988	4.901957
246.162384	928.412476	1365.312500	862.422363	-15.104168
246.540359	919.310425	1454.057739	944.341125	4.680846
246.918289	901.106262	1636.099487	926.136963	3.405569
247.296204	894.279663	1656.579102	921.585938	3.582093
247.674057	926.136963	1952.396851	964.820801	3.769400
248.051895	844.218201	2207.255127	978.473938	9.849751
248.429703	914.759338	2129.887451	951.167725	2.996259
248.807465	942.065613	2079.825928	1001.229126	5.199998
249.185196	835.116150	2002.458252	1008.055725	14.814816
249.562897	917.034912	1781.732788	980.749451	7.368416
249.940567	921.585938	1695.262939	917.034912	-0.588233
250.318192	919.310425	1595.140137	948.892151	4.377098
250.695801	901.106262	1567.833862	951.167725	7.508533
251.073349	885.177612	1522.323364	987.576050	16.071430
251.450882	937.514587	1495.017212	942.065613	0.816324
251.828400	937.514587	1469.986450	951.167725	2.564105
252.205872	935.239075	1510.945801	955.718750	3.557310
252.583313	907.932800	1599.691162	978.473938	10.197367
252.960693	896.555176	1590.588989	964.820801	9.836066
253.338074	812.360901	1604.242188	926.136963	14.367818
253.715408	848.769287	1677.058838	1001.229126	18.406588
254.092682	944.341125	1615.619751	930.687988	-2.033900
254.469955	903.381775	1504.119263	873.799988	-4.924245
254.847198	848.769287	1456.333252	1023.984375	28.838953
255.224365	887.453125	1449.506714	992.127075	18.623482
255.601563	869.248962	1415.373901	971.647400	18.750002
255.978683	960.269775	1424.476074	935.239075	-5.392150
256.355743	814.636475	1458.608887	1014.882263	31.095398
256.732819	962.545288	1410.822876	955.718750	-1.522837
257.109894	951.167725	1454.057739	994.402588	8.597281
257.486877	914.759338	1451.782227	935.239075	3.813569
257.863831	930.687988	1583.762451	951.167725	3.135896
258.240753	901.106262	1670.232300	951.167725	6.508876
258.617645	898.830688	1663.405762	957.994263	7.738099
258.994507	914.759338	1795.385864	978.473938	7.235144
259.371307	923.861450	1947.845825	1010.331238	8.444444
259.748108	1019.433350	1929.641602	1019.433350	0.000000
260.124878	896.555176	2145.816162	1026.259888	10.382515
260.501617	946.616638	2327.857666	1001.229126	3.953871
260.878296	912.483826	2685.114502	992.127075	4.492941
261.254944	887.453125	2778.410889	1108.178589	11.672681
