Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:53:59 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 49800 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	912.483826	932.963501	894.279663	-88.888924
191.392532	962.545288	928.412476	901.106262	179.999893
191.775177	957.994263	923.861450	885.177612	213.333282
192.157791	955.718750	953.443237	926.136963	1300.005371
192.540390	928.412476	907.932800	967.096313	-188.888916
192.922943	869.248962	1008.055725	910.208313	29.508181
193.305481	880.626526	978.473938	866.973450	-13.953436
193.687958	944.341125	946.616638	967.096313	1000.002686
194.070419	944.341125	971.647400	894.279663	-183.333191
194.452866	955.718750	967.096313	944.341125	-100.000534
194.835251	969.371887	951.167725	862.422363	587.500366
195.217621	978.473938	953.443237	901.106262	309.091125
195.599960	948.892151	1017.157776	910.208313	-56.666641
195.982254	955.718750	914.759338	919.310425	88.888786
196.364517	905.657288	971.647400	978.473938	110.344788
196.746750	1008.055725	944.341125	951.167725	89.285660
197.128952	976.198425	948.892151	967.096313	33.333408
197.511139	953.443237	935.239075	973.922913	-112.499962
197.893280	932.963501	1033.086426	957.994263	25.000031
198.275391	939.790100	901.106262	935.239075	11.764668
198.657471	930.687988	980.749451	978.473938	95.454559
199.039520	964.820801	955.718750	932.963501	350.001343
199.421539	960.269775	946.616638	889.728638	516.666138
199.803513	914.759338	960.269775	953.443237	85.000061
200.185471	948.892151	1053.566162	855.595825	-89.130363
200.567383	962.545288	1030.810913	903.381775	-86.666626
200.949265	1005.780212	935.239075	907.932800	138.709717
201.331131	964.820801	928.412476	896.555176	187.500046
201.712967	1080.872437	944.341125	864.697876	158.333328
202.094742	873.799988	1030.810913	855.595825	-11.594201
202.476517	885.177612	1001.229126	953.443237	58.823555
202.858231	928.412476	951.167725	869.248962	-259.999420
203.239944	942.065613	985.300537	1005.780212	147.368362
203.621582	946.616638	957.994263	967.096313	179.999573
204.003235	907.932800	923.861450	937.514587	185.714340
204.384827	903.381775	985.300537	901.106262	-2.777767
204.766388	928.412476	935.239075	894.279663	-499.997314
205.147934	1003.504700	955.718750	953.443237	104.761887
205.529449	980.749451	957.994263	976.198425	19.999947
205.910904	896.555176	964.820801	857.871338	-56.666641
206.292343	962.545288	985.300537	948.892151	-59.999947
206.673767	964.820801	1012.606750	862.422363	-214.285660
207.055115	892.004150	1001.229126	912.483826	18.749992
207.436462	937.514587	1001.229126	948.892151	17.857092
207.817780	942.065613	944.341125	878.351013	-2800.010742
208.199051	930.687988	1042.188477	955.718750	22.449015
208.580307	887.453125	973.922913	907.932800	23.684198
208.961517	901.106262	1005.780212	960.269775	56.521717
209.342712	948.892151	944.341125	898.830688	1100.004028
209.723846	944.341125	932.963501	967.096313	-199.999466
210.104965	914.759338	930.687988	921.585938	42.857361
210.486069	917.034912	1021.708862	876.075500	-39.130474
210.867111	871.524475	942.065613	994.402588	174.193558
211.248123	973.922913	1069.494751	948.892151	-26.190519
211.629120	937.514587	976.198425	921.585938	-41.176498
212.010071	946.616638	967.096313	853.320313	-455.555695
212.390991	994.402588	930.687988	994.402588	-0.000000
212.771881	907.932800	980.749451	930.687988	31.249979
213.152756	989.851563	953.443237	937.514587	143.750015
213.533569	992.127075	983.024963	955.718750	399.998657
213.914368	1008.055725	992.127075	985.300537	142.856979
214.295135	962.545288	1017.157776	910.208313	-95.833344
214.675858	994.402588	1026.259888	898.830688	-300.000000
215.056549	928.412476	1033.086426	889.728638	-36.956509
215.437225	926.136963	1026.259888	946.616638	20.454531
215.817841	951.167725	976.198425	914.759338	-145.454926
216.198441	873.799988	1055.841675	921.585938	26.250004
216.579025	983.024963	960.269775	866.973450	510.000244
216.959549	932.963501	973.922913	853.320313	-194.444168
217.340057	967.096313	1008.055725	923.861450	-105.555382
217.720535	953.443237	917.034912	896.555176	156.250153
218.100967	926.136963	1010.331238	953.443237	32.432461
218.481369	951.167725	910.208313	905.657288	111.111061
218.861740	996.678101	910.208313	910.208313	100.000000
219.242065	994.402588	996.678101	839.667175	-6800.023926
219.622391	926.136963	992.127075	953.443237	41.379341
220.002670	946.616638	951.167725	942.065613	-99.998657
220.382919	951.167725	992.127075	946.616638	-11.111227
220.763123	983.024963	953.443237	853.320313	438.462067
221.143295	978.473938	962.545288	919.310425	371.428284
221.523453	948.892151	957.994263	930.687988	-199.999329
221.903549	955.718750	1003.504700	885.177612	-147.618988
222.283630	910.208313	1055.841675	851.044800	-40.624973
222.663696	919.310425	1042.188477	882.902100	-29.629641
223.043701	948.892151	1030.810913	857.871338	-111.111069
223.423676	964.820801	1058.117188	928.412476	-39.024368
223.803635	1033.086426	1042.188477	942.065613	-1000.003357
224.183548	1008.055725	998.953613	873.799988	1474.995483
224.563431	951.167725	987.576050	855.595825	-262.500122
224.943283	960.269775	1026.259888	951.167725	-13.793053
225.323105	873.799988	1069.494751	898.830688	12.790685
225.702881	885.177612	978.473938	953.443237	73.170753
226.082642	910.208313	1042.188477	1014.882263	79.310364
226.462357	903.381775	1028.535400	917.034912	10.909102
226.842041	955.718750	1037.637451	946.616638	-11.111153
227.221695	892.004150	1019.433350	907.932800	12.500000
227.601318	987.576050	1058.117188	921.585938	-93.548409
227.980911	930.687988	1044.463989	869.248962	-53.999989
228.360474	917.034912	1012.606750	926.136963	9.523779
228.739990	962.545288	1133.209351	960.269775	-1.333329
229.119476	905.657288	1149.138062	869.248962	-14.953265
229.498932	821.463013	1149.138062	932.963501	34.027763
229.878372	885.177612	1210.577026	878.351013	-2.097914
230.257736	901.106262	1240.158813	873.799988	-8.053699
230.637115	944.341125	1233.332275	942.065613	-0.787399
231.016449	935.239075	1142.311401	926.136963	-4.395619
231.395737	871.524475	1133.209351	917.034912	17.391314
231.774994	898.830688	1183.270874	896.555176	-0.799997
232.154221	926.136963	1153.689087	926.136963	0.000000
232.533417	939.790100	1117.280762	930.687988	-5.128220
232.912582	921.585938	1133.209351	944.341125	10.752680
233.291702	935.239075	1121.831787	896.555176	-20.731731
233.670792	944.341125	1185.546387	937.514587	-2.830178
234.049866	942.065613	1126.382813	894.279663	-25.925930
234.428894	955.718750	1149.138062	917.034912	-19.999987
234.807892	951.167725	1121.831787	869.248962	-48.000008
235.186874	944.341125	1128.658325	903.381775	-22.222208
235.565781	882.902100	1151.413574	907.932800	9.322022
235.944687	1019.433350	1149.138062	960.269775	-45.614052
236.323547	967.096313	1199.199463	930.687988	-15.686270
236.702377	955.718750	1199.199463	996.678101	16.822420
237.081177	985.300537	1169.617676	896.555176	-48.148186
237.459946	932.963501	1274.291626	894.279663	-11.333328
237.838669	953.443237	1210.577026	907.932800	-17.699127
238.217361	894.279663	1151.413574	983.024963	34.513264
238.596039	948.892151	1083.147949	942.065613	-5.084725
238.974670	914.759338	1174.168701	862.422363	-20.175438
239.353271	905.657288	1169.617676	907.932800	0.862066
239.731842	957.994263	1140.035889	921.585938	-20.000000
240.110367	914.759338	1240.158813	914.759338	0.000000
240.488876	896.555176	1192.372925	880.626526	-5.384616
240.867340	971.647400	1244.709839	994.402588	8.333327
241.245789	901.106262	1303.873413	917.034912	3.954804
241.624176	935.239075	1376.690063	967.096313	7.216484
242.002548	932.963501	1281.118164	960.269775	7.843145
242.380890	887.453125	1401.720825	985.300537	19.026552
242.759186	957.994263	1529.150024	951.167725	-1.195215
243.137451	944.341125	1622.446289	1051.290649	15.771820
243.515686	939.790100	1670.232300	967.096313	3.738313
243.893890	928.412476	1683.885376	992.127075	8.433737
244.272049	869.248962	1665.681274	998.953613	16.285709
244.650192	1026.259888	1590.588989	953.443237	-12.903224
245.028290	932.963501	1590.588989	964.820801	4.844292
245.406357	928.412476	1510.945801	987.576050	10.156256
245.784393	912.483826	1497.292725	967.096313	9.338518
246.162384	973.922913	1433.578125	948.892151	-5.445551
246.540359	889.728638	1549.629639	926.136963	5.517241
246.918289	955.718750	1620.170776	914.759338	-6.164390
247.296204	964.820801	1795.385864	1023.984375	7.123292
247.674057	1005.780212	1995.631714	1026.259888	2.068964
248.051895	996.678101	2339.235352	1026.259888	2.203391
248.429703	919.310425	2359.715088	1026.259888	7.424960
248.807465	907.932800	2325.582275	1058.117188	10.593902
249.185196	1001.229126	2093.479248	1010.331238	0.833336
249.562897	946.616638	1959.223389	1019.433350	7.191016
249.940567	889.728638	1884.131226	989.851563	10.068651
250.318192	976.198425	1642.926025	1005.780212	4.436862
250.695801	960.269775	1667.956787	973.922913	1.929262
251.073349	1019.433350	1661.130127	964.820801	-8.510647
251.450882	992.127075	1567.833862	967.096313	-4.347832
251.828400	985.300537	1563.282837	987.576050	0.393699
252.205872	914.759338	1613.344238	1062.668213	21.172642
252.583313	905.657288	1633.823975	1080.872437	24.062506
252.960693	978.473938	1733.946899	1001.229126	3.012045
253.338074	983.024963	1768.079712	1012.606750	3.768118
253.715408	951.167725	1722.569214	855.595825	-12.389385
254.092682	928.412476	1720.293701	935.239075	0.862074
254.469955	894.279663	1570.109375	937.514587	6.397310
254.847198	930.687988	1658.854614	1037.637451	14.687499
255.224365	866.973450	1565.558350	962.545288	13.680777
255.601563	919.310425	1535.976563	992.127075	11.808116
255.978683	1005.780212	1576.935913	930.687988	-13.147417
256.355743	896.555176	1576.935913	1019.433350	18.060207
256.732819	937.514587	1526.874512	996.678101	10.038605
257.109894	894.279663	1586.037964	969.371887	10.855269
257.486877	932.963501	1558.731689	996.678101	10.181822
257.863831	887.453125	1688.436401	1080.872437	24.147734
258.240753	1008.055725	1818.141113	985.300537	-2.808986
258.617645	914.759338	1788.559326	1044.463989	14.843746
258.994507	967.096313	1797.661377	987.576050	2.465760
259.371307	964.820801	1984.254150	996.678101	3.125001
259.748108	971.647400	2209.530762	976.198425	0.367646
260.124878	951.167725	2364.266113	1023.984375	5.152978
260.501617	919.310425	2555.409912	1049.015137	7.927679
