"",".id","V1",".id","2.5%","97.5%"
"1","b_Intercept",0.781204811461078,"b_Intercept",-0.0294603216093238,1.58443894434051
"2","b_cortCORT",-0.473062221284774,"b_cortCORT",-1.49070670128105,0.564041170714737
"3","b_tempHot",-0.48059026331652,"b_tempHot",-1.44061313446029,0.509583216403583
"4","b_trial_associative",0.0040548212240723,"b_trial_associative",-0.0274992897741128,0.0361186763775663
"5","b_groupRed",-1.92527571469923,"b_groupRed",-2.66641982201299,-1.2099022885374
"6","b_cortCORT:tempHot",0.790120114220517,"b_cortCORT:tempHot",-0.629813482265249,2.15242520685412
"7","b_cortCORT:trial_associative",0.0163766728435006,"b_cortCORT:trial_associative",-0.0247532265237806,0.0574892194673727
"8","b_tempHot:trial_associative",0.0354249507815582,"b_tempHot:trial_associative",-0.00468185872428582,0.0767030005262284
"9","b_trial_associative:groupRed",0.0633736090368103,"b_trial_associative:groupRed",0.033737692971849,0.0931068764129148
"10","b_cortCORT:tempHot:trial_associative",-0.0403895505205129,"b_cortCORT:tempHot:trial_associative",-0.0965502982087825,0.0168671298629354
