"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","first_non_na","Associative_Trial"
"166",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",33,"R",1,"",1,33,"C",1,1,"",8,26
"167",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",33,"L",1,"",1,33,"L",0,1,"",8,26
"168",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",33,"L",0,"",1,33,"L",1,1,"",1,33
"169",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",33,"L",1,"",1,33,"C",1,1,"",10,24
"170",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",33,"C",1,"",1,33,"C",0,1,"",1,33
"171",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",34,"C",1,"",1,34,"R",0,1,"",6,29
"172",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",34,"C",1,"",1,34,"L",1,1,"",8,27
"173",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",34,"R",0,"",1,34,"R",1,1,"",8,27
"174",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",34,"C",1,"",1,34,"L",1,1,"",1,34
"175",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",34,"C",1,"",1,34,"C",1,1,"",10,25
"176",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",34,"C",1,"",1,34,"R",0,1,"",1,34
"177",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",35,"R",0,"",1,35,"C",1,1,"",6,30
"178",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",35,"L",1,"",1,35,"C",1,1,"",8,28
"179",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",35,"L",1,"",1,35,"L",1,1,"",8,28
"180",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",35,"L",1,"",1,35,"R",0,1,"",1,35
"181",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",35,"L",1,"",1,35,"C",1,1,"",10,26
"182",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",35,"L",1,"",1,35,"C",0,1,"",1,35
