"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","first_non_na","Associative_Trial"
"36",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",11,"L",0,"",1,11,"C",1,1,"",1,11
"37",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",11,"L",1,"",1,11,"C",0,1,"",10,2
"38",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",11,"C",1,"",1,11,"L",0,1,"",1,11
"39",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",12,"R",0,"",1,12,"C",1,1,"",6,7
"40",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",12,"R",0,"",1,12,"R",0,1,"",8,5
"41",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",12,"L",0,"",1,12,"R",0,1,"",8,5
"42",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",12,"L",0,"",1,12,"R",0,1,"",1,12
"43",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",12,"L",1,"",1,12,"R",0,1,"",10,3
"44",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",12,"C",1,"",1,12,"R",0,1,"",1,12
"45",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",13,"C",1,"",1,13,"R",0,1,"",6,8
"46",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",13,"L",1,"",1,13,"L",1,1,"",8,6
"47",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",13,"C",1,"",1,13,"L",0,1,"",8,6
"48",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",13,"R",0,"",1,13,"C",1,1,"",1,13
"49",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",13,"L",1,"",1,13,"R",0,1,"",10,4
"50",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",13,"C",1,"Shelter left for 6 min after beginning",1,13,"R",0,1,"",1,13
"51",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",14,"L",1,"1 cricket given after the test",1,14,"L",1,1,"",6,9
"52",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",14,"L",1,"1 cricket given after the test",1,14,"C",0,1,"",8,7
"53",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",14,"C",1,"1 cricket given after the test",1,14,"C",1,1,"",8,7
"54",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",14,"L",1,"1 cricket given after the test",1,14,"L",1,1,"",1,14
"55",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",14,"C",1,"1 cricket given after the test",1,14,"C",0,1,"",10,5
"56",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",14,"R",1,"1 cricket given after the test",1,14,"R",0,1,"",1,14
"57",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",15,"C",0,"",1,15,"L",1,1,"",6,10
"58",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",15,"C",1,"",1,15,"R",0,1,"",8,8
"59",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",15,"R",1,"",1,15,"R",0,1,"",8,8
"60",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",15,"L",1,"",1,15,"C",1,1,"",1,15
"61",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",15,"L",1,"",1,15,"R",0,1,"",10,6
"62",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",15,"R",1,"",1,15,"R",1,1,"",1,15
"63",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",16,"R",1,"",1,16,"R",1,1,"",6,11
"64",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",16,"L",1,"",1,16,"R",0,1,"",8,9
"65",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",16,"R",1,"",1,16,"C",1,1,"",8,9
"66",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",16,"L",0,"",1,16,"R",0,1,"",1,16
"67",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",16,"L",1,"",1,16,"C",1,1,"",10,7
"68",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",16,"R",0,"",1,16,"L",0,1,"",1,16
"69",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",17,"R",0,"",1,17,"L",1,1,"",6,12
"70",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",17,"C",1,"",1,17,"C",1,1,"",8,10
"71",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",17,"R",1,"",1,17,"C",1,1,"",8,10
"72",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",17,"L",1,"",1,17,"R",0,1,"",1,17
"73",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",17,"L",1,"",1,17,"L",1,1,"",10,8
"74",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",17,"C",1,"",1,17,"C",0,1,"",1,17
"75",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",18,"L",1,"1 cricket given after the test",1,18,"L",0,1,"",6,13
"76",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",18,"L",1,"1 cricket given after the test",1,18,"C",1,1,"",8,11
"77",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",18,"L",0,"1 cricket given after the test",1,18,"C",1,1,"",8,11
"78",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",18,"R",0,"1 cricket given after the test",1,18,"L",0,1,"",1,18
"79",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",18,"R",1,"1 cricket given after the test",1,18,"C",0,1,"",10,9
"80",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",18,"C",0,"1 cricket given after the test",1,18,"L",1,1,"",1,18
"81",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",19,"C",1,"2 crickets given after the test",1,19,"C",1,1,"",6,14
"82",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",19,"L",0,"2 crickets given after the test",1,19,"C",0,1,"",8,12
"83",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",19,"R",1,"2 crickets given after the test",1,19,"C",1,1,"",8,12
"84",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",19,"R",1,"2 crickets given after the test",1,19,"R",0,1,"",1,19
"85",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",19,"C",0,"2 crickets given after the test",1,19,"R",1,1,"",10,10
"86",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",19,"C",1,"2 crickets given after the test",1,19,"L",0,1,"",1,19
"87",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",20,"R",0,"",1,20,"L",1,1,"",6,15
"88",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",20,"R",1,"",1,20,"C",1,1,"",8,13
"89",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",20,"R",1,"",1,20,"R",1,1,"",8,13
"90",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",20,"R",1,"",1,20,"C",1,1,"",1,20
"91",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",20,"R",1,"",1,20,"R",1,1,"",10,11
"92",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",20,"L",1,"",1,20,"C",0,1,"",1,20
"93",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",21,"L",0,"",1,21,"L",1,1,"",6,16
"94",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",21,"R",0,"",1,21,"L",1,1,"",8,14
"95",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",21,"C",1,"",1,21,"L",0,1,"",8,14
"96",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",21,"L",1,"",1,21,"L",0,1,"",1,21
"97",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",21,"L",1,"",1,21,"C",1,1,"",10,12
"98",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",21,"L",1,"",1,21,"L",0,1,"",1,21
"99",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",22,"L",1,"",1,22,"C",0,1,"",6,17
"100",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",22,"L",1,"",1,22,"C",1,1,"",8,15
"101",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",22,"L",0,"",1,22,"L",1,1,"",8,15
"102",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",22,"C",1,"",1,22,"R",0,1,"",1,22
"103",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",22,"R",1,"",1,22,"R",1,1,"",10,13
"104",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",22,"C",1,"",1,22,"C",0,1,"",1,22
"105",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",23,"L",1,"",1,23,"L",1,1,"",6,18
"106",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",23,"C",1,"",1,23,"R",1,1,"",8,16
"107",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",23,"C",1,"",1,23,"L",1,1,"",8,16
"108",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",23,"C",1,"",1,23,"L",0,1,"",1,23
"109",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",23,"L",1,"",1,23,"L",0,1,"",10,14
"110",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",23,"R",0,"",1,23,"L",1,1,"",1,23
