"","column","value","Specie","Treatment"
"1","X.probright_dbCORTCold...probright_drCORTCold.",0.554774380494406,"L. delicata","CORT-Cold"
"2","X.probright_dbControlCold...probright_drControlCold.",0.479907324955688,"L. delicata","Control-Cold"
"3","X.probright_dbCORTHot...probright_drCORTHot.",0.286061722958236,"L. delicata","CORT-Hot"
"4","X.probright_dbControlHot...probright_drControlHot.",0.276541511809874,"L. delicata","Control-Hot"
"5","X.probright_gbCORTCold...probright_grCORTCold.",0.279702755246786,"L. guichenoti","CORT-Cold"
"6","X.probright_gbControlCold...probright_grControlCold.",0.494181076510464,"L. guichenoti","Control-Cold"
"7","X.probright_gbCORTHot...probright_grCORTHot.",0.246838194011753,"L. guichenoti","CORT-Hot"
"8","X.probright_gbControlHot...probright_grControlHot.",0.265029799634678,"L. guichenoti","Control-Hot"
