"","Intercept","Associative_Trial","Associative_Trial.trtCORTCold","Associative_Trial.trtControlHot","Associative_Trial.trtCORTHot","species_level","bias_level"
"1",-1.16236103130446,0.0689675619979593,0.00460399647876529,0.0209774614257951,-0.00261472941111234,"delicata","Red"
"2",-1.70228458200505,0.0707731001363312,0.0448930837357743,0.022026141755321,-0.000294303183903573,"delicata","Red"
"3",-1.91026891519073,0.0853874180354415,-0.0226777224156972,0.0659337816688603,-0.00409687966922496,"delicata","Red"
"4",-1.86842868625798,0.0696390990154825,0.0230056290472259,0.0277762433060513,-0.00770100598251805,"delicata","Red"
"5",-1.69439320138851,0.0832652816980545,-0.00762747218856441,0.0228477792003695,0.01806890565327,"delicata","Red"
"6",-1.55277979661897,0.0667150231144698,0.00872596904128422,0.0305171278968004,-0.0221195184370455,"delicata","Red"
"7",-1.45561714207846,0.0947947453330643,0.00444653705829582,0.000877040096743367,-0.000342594766481647,"delicata","Red"
"8",-1.61194426230916,0.0653036688953445,0.0431023092201719,0.000370238815981855,-0.0268261877171304,"delicata","Red"
"9",-1.56900626386024,0.0729196148363701,-0.0233321482346813,-0.000542679419857993,-0.0131854418290189,"delicata","Red"
"10",-1.27213875400071,0.031507003197404,0.0482555463099479,0.0395366169135301,0.0256242652819181,"delicata","Red"
"11",-1.36257627414024,0.0859005557360828,0.00571177717765867,0.0216207551952732,-0.019306879856914,"delicata","Red"
"12",-0.815502658117782,0.0395846971199637,0.0478302790379191,0.0672069251057872,0.0495327560361997,"delicata","Red"
"13",-1.7703500939753,0.0913151536176482,0.0351923119857696,0.00928932563530977,-0.0308001233300693,"delicata","Red"
"14",-1.97172302366412,0.0679156954480406,0.0406782760546802,0.0592983644494017,0.0226246581208334,"delicata","Red"
"15",-0.992247575942884,0.0584427555938853,0.0426016581399332,0.0465771439850694,0.0368139370673632,"delicata","Red"
"16",-1.46249610998214,0.0642238382569365,0.0429123687630053,0.0637184688590638,0.00951441538030632,"delicata","Red"
"17",-1.77998328675907,0.052997490095049,0.037959152812221,0.0566420677363721,0.0143201086487388,"delicata","Red"
"18",-1.59693241643273,0.0994850190834361,-0.02504151614076,-0.0191981369458348,-0.0565881841207988,"delicata","Red"
"19",-1.62485205101741,0.0925399270223093,0.0261268362989756,0.0114157294299912,-0.0352843576603675,"delicata","Red"
"20",-1.30158794223336,0.0809974297387979,0.0243609922174365,0.00730449514468721,-0.0254470668791474,"delicata","Red"
"21",-2.16555219484648,0.0739980288420391,0.0407108559243465,0.0301765556346456,-0.0158844387238214,"delicata","Red"
"22",-1.37421099115511,0.0917370311737504,0.0073135589476117,-0.0066501168021046,-0.0106651264255172,"delicata","Red"
"23",-1.23376611143774,0.0743487895821005,0.035206456246752,0.0241235485334226,-0.00744231356974611,"delicata","Red"
"24",-0.719577748878648,0.0486737453945561,0.0766026632982416,0.0399481784737773,0.01825021951368,"delicata","Red"
"25",-0.296353507792415,0.0418947025415507,0.0612069057402412,0.0738694726570791,0.0308627471160488,"delicata","Red"
"26",-0.895641706067851,0.0469770232206062,0.080389580656158,0.0452125444624879,0.0350871616586213,"delicata","Red"
"27",-0.69587527201986,0.048070627166216,0.0786209939137393,0.0876016618291021,0.00351139811999463,"delicata","Red"
"28",-2.56819084899239,0.0952426501134539,-0.00348918066309312,0.0109952422937005,0.00367884287954947,"delicata","Red"
"29",-1.57282975763784,0.080883113216527,0.0412920575958087,0.00312981227524107,-0.0476398157017051,"delicata","Red"
"30",-1.6296479011143,0.0653340859517522,0.0612431487548517,-0.0149134263018059,-0.0304855395448751,"delicata","Red"
"31",-1.51264853995111,0.0712685246072147,0.0498173718575851,0.00562793368584256,0.007627723612559,"delicata","Red"
"32",-1.35716393688262,0.0739048135460287,0.0341131506364136,0.0314148578615169,0.0339387836586837,"delicata","Red"
"33",-1.30063984092904,0.0563977436154241,0.052928561584427,0.0227151942113539,0.00862564330277379,"delicata","Red"
"34",-0.834716324673002,0.0515733783162821,0.0454307552271679,0.0555346533589707,0.0404366084419978,"delicata","Red"
"35",-0.857928458914171,0.080322838679152,3.42404134129802e-05,0.0486773442144336,-0.0018103106612923,"delicata","Red"
"36",-1.32180709025917,0.0827840277006123,0.0267339202375346,0.016288513911291,-0.0180104606227965,"delicata","Red"
"37",-0.666334397143057,0.0509848832224527,0.0499296385640058,0.0668853881823595,0.0463519433735457,"delicata","Red"
"38",-1.88193608737588,0.0955704503113652,0.000290446905992228,0.0243618957802102,-0.0198848399215101,"delicata","Red"
"39",-1.56721081898357,0.0660942798205093,0.050617232781532,0.0439205094269256,-0.00719290227125593,"delicata","Red"
"40",-1.34916539668521,0.075554875234136,0.0253861200387062,0.0218750257759887,-0.0123307794721414,"delicata","Red"
"41",-1.7287531290844,0.071453216019308,0.0112902115790785,0.0562617760153983,0.00406928430443072,"delicata","Red"
"42",-1.43469309122476,0.0712896533911971,0.0168670962353064,0.0336719601246811,-0.00844633077786036,"delicata","Red"
"43",-0.838898085272288,0.0636583661664033,0.0352453338922103,0.0725241775817937,-0.00879350858847178,"delicata","Red"
"44",-0.673202049277111,0.0519508574500998,0.0675583247000925,0.0769772761592634,-0.0161452625580476,"delicata","Red"
