"","trial_associative","FC_associative","cort","temp","group","lizard_id","cond__","effect1__","estimate__","se__","lower__","upper__"
"1",1,0.612787356321839,"Control","Cold","Blue",NA,"1",1,0.686642137995089,0.0821053546377827,0.50171314266915,0.826909375682524
"2",1.34343434343434,0.612787356321839,"Control","Cold","Blue",NA,"1",1.34343434343434,0.686658589510343,0.0807945698088949,0.503372795897168,0.825678291438344
"3",1.68686868686869,0.612787356321839,"Control","Cold","Blue",NA,"1",1.68686868686869,0.68692549058404,0.0799230611793807,0.505682584018369,0.82447397732905
"4",2.03030303030303,0.612787356321839,"Control","Cold","Blue",NA,"1",2.03030303030303,0.687355102431776,0.0787262019151439,0.508337544407686,0.823599263768324
"5",2.37373737373737,0.612787356321839,"Control","Cold","Blue",NA,"1",2.37373737373737,0.687451655309844,0.0772926767371628,0.511282298815045,0.822589200610509
"6",2.71717171717172,0.612787356321839,"Control","Cold","Blue",NA,"1",2.71717171717172,0.687467681023033,0.0763375502747593,0.513631876446924,0.821647472046462
"7",3.06060606060606,0.612787356321839,"Control","Cold","Blue",NA,"1",3.06060606060606,0.6875349709135,0.0754593756871602,0.516358056191251,0.820679855015212
"8",3.4040404040404,0.612787356321839,"Control","Cold","Blue",NA,"1",3.4040404040404,0.687568139819244,0.0747706645809115,0.518819230476531,0.820176671114353
"9",3.74747474747475,0.612787356321839,"Control","Cold","Blue",NA,"1",3.74747474747475,0.68790039112031,0.0738829046480104,0.521217031679118,0.818751719110677
"10",4.09090909090909,0.612787356321839,"Control","Cold","Blue",NA,"1",4.09090909090909,0.688120652373771,0.0732086663740867,0.524157809547535,0.81807928267723
"11",4.43434343434343,0.612787356321839,"Control","Cold","Blue",NA,"1",4.43434343434343,0.688448767861881,0.0723525962633572,0.526751312498268,0.817408469225957
"12",4.77777777777778,0.612787356321839,"Control","Cold","Blue",NA,"1",4.77777777777778,0.688765379250344,0.0715074779179159,0.529293711233884,0.815978943014022
"13",5.12121212121212,0.612787356321839,"Control","Cold","Blue",NA,"1",5.12121212121212,0.689296362870008,0.070489492542313,0.531867646830576,0.81475786513701
"14",5.46464646464646,0.612787356321839,"Control","Cold","Blue",NA,"1",5.46464646464646,0.68973924499355,0.0694703018513843,0.534548117052872,0.813661265984997
"15",5.80808080808081,0.612787356321839,"Control","Cold","Blue",NA,"1",5.80808080808081,0.690010353573029,0.0684166203343315,0.536540650837002,0.812642784297391
"16",6.15151515151515,0.612787356321839,"Control","Cold","Blue",NA,"1",6.15151515151515,0.690191202696821,0.0678121558507122,0.538879837051679,0.811477483785016
"17",6.49494949494949,0.612787356321839,"Control","Cold","Blue",NA,"1",6.49494949494949,0.690650458103698,0.0669735533126727,0.541019853905514,0.810595090781167
"18",6.83838383838384,0.612787356321839,"Control","Cold","Blue",NA,"1",6.83838383838384,0.690868042541324,0.0659095883418758,0.543344003097364,0.809309935203616
