"","x"
"1",-0.00305720648827712
"2",-0.00335747456342694
"3",0.00485466698378469
"4",0.00525354606715329
"5",-0.0105649377089595
"6",-0.0111778624415677
"7",-0.0206305373570829
"8",-0.0149536559717689
"9",-0.00533154225324612
"10",-0.0101940958476868
"11",0.0072032855763516
"12",0.0128901191010985
"13",0.0167744396251864
"14",-0.00109265777368531
"15",0.00440723201200479
"16",0.00104254798663907
"17",0.00726707955823851
"18",-0.000199872029560568
"19",0.00715414833889507
"20",0.0121279180507225
"21",0.00922277612048908
"22",0.00305297289303774
"23",0.00192478884465737
"24",0.000219887488367058
"25",0.0103295189573118
"26",0.0143300809679103
"27",0.00688908019619725
"28",0.020590213211035
"29",0.00595477894488452
"30",0.0115036881535555
"31",0.00848130507036879
"32",0.00599899011748566
"33",0.00903198367471459
"34",0.00490282041949632
"35",0.0106497744671433
"36",0.0110954227049279
"37",0.0233290642152042
"38",0.00234803385885933
"39",0.00854024913226052
"40",0.00103166049778752
"41",0.00271512034884261
"42",-0.00351450048366286
"43",0.0011475927545829
"44",0.00756849555764649
"45",-0.00100675791516198
"46",0.00199829691720846
"47",-0.00189866680152772
"48",0.00970327673006634
"49",-0.00436234684333913
"50",0.00578682952613591
"51",-0.00254892774209312
"52",-0.00872553110693927
"53",0.0060661512499857
"54",0.00085713753185127
"55",-0.000788635496117589
"56",-0.00473812450520888
"57",0.00928292427035107
"58",7.64680436648214e-05
"59",0.0104141025055653
"60",0.00201356430908217
"61",-0.000260234156784682
"62",-0.000805201846052551
"63",-0.00210256026228526
"64",0.000568704981124971
"65",0.00693670463127622
"66",-0.0097589122799237
"67",0.00542290346386308
"68",-0.00763696650338943
"69",-0.0108552585903168
"70",-0.00980900981392991
"71",-0.000169995699479148
"72",0.0109609480449778
"73",0.0111932810870858
"74",0.0223832891556543
"75",0.0247088678005674
"76",-0.00395904237842811
"77",-0.00485395578888053
"78",0.00658098299345489
"79",0.00141372233823148
"80",0.00176471188906571
"81",-0.00525060024875736
"82",-0.0083915028331524
"83",-0.00867791846364754
"84",-0.00940548327538809
"85",0.00332708353295945
"86",-0.00267649495413141
"87",0.00660195686539376
"88",0.0107618895246836
"89",0.00979926880636676
"90",-0.0019366964978701
"91",-0.00864012834862697
"92",0.0132792159452471
"93",-0.00783654800597585
"94",-0.0087453389033201
"95",0.00752337988491792
"96",-0.00411327682901827
"97",-0.00196291129952181
"98",0.00551192335462425
"99",0.000318102838042939
"100",0.000317279303640568
"101",0.00675605186573575
"102",-0.00429955665805916
"103",-0.0103730500633931
"104",0.00443133842246297
"105",0.011016539240751
"106",0.0102945477170261
"107",0.000823003221995663
"108",0.011538830067631
"109",-0.00780367251832385
"110",-0.00231953550671012
"111",0.0033209716107734
"112",0.01216545220774
"113",0.0137078150383214
"114",0.00584946596879172
"115",0.00998734016897977
"116",0.00494176500609699
"117",-0.00475535951220926
"118",-0.0040237894768407
"119",0.00295079066498186
"120",9.41384948980016e-05
"121",0.00725696739848417
"122",0.0043064808677826
"123",0.00286406004788355
"124",0.00739251096889127
"125",0.0135818621171071
"126",0.00986394329407351
"127",0.00906121994400293
"128",0.00245126032927209
"129",-0.00228102081601832
"130",0.00143547173765098
"131",0.00243065892053673
"132",-0.00144451125930355
"133",-0.00678323307206913
"134",0.00150835346757889
"135",0.0119159111766513
"136",0.000943210760785418
"137",0.00227680229890065
"138",-0.00243713484843767
"139",-0.0172268327351035
"140",-0.012890128469799
"141",-0.000657174078957682
"142",0.00241444155810478
"143",0.00732708089093221
"144",0.0214826953460676
"145",0.0273951762513349
"146",0.0254255778223954
"147",0.0149969767583569
"148",0.00851784173491032
"149",0.0110393347406922
"150",0.0170735379085638
"151",0.000299914967180732
"152",0.016552600505142
"153",0.0117751163656252
"154",0.00597761148745963
"155",0.000808785647326598
"156",-0.00501035150012783
"157",0.0169410719196901
"158",0.000257314668941161
"159",0.0235772646826534
"160",0.00439707279658816
"161",-0.0086068429779553
"162",-0.0134090958608756
"163",-0.00647053718589129
"164",-0.00670586567823257
"165",-0.011637633579506
"166",-0.00418084758839584
"167",0.000277803910718412
"168",0.00380759301325744
"169",0.000563194416697958
"170",0.0225111786234233
"171",0.0131440476547992
"172",0.00955200407068132
"173",0.0071420842658072
"174",0.00563593680288885
"175",0.00536709502367274
"176",0.0105868221535588
"177",-4.5915949823277e-05
"178",0.00920622201557494
"179",0.0117176773093884
"180",-0.00229629186574742
"181",0.00384042502788935
