"","species","group","trt","Trial","prop_correct"
"80","italic('L. delicata')","Red","Control-Cold",14,0.4
"81","italic('L. delicata')","Red","Control-Cold",15,0.6
"82","italic('L. delicata')","Red","Control-Cold",16,0.6
"83","italic('L. delicata')","Red","Control-Cold",17,0.8
"84","italic('L. delicata')","Red","Control-Cold",18,0.6
"85","italic('L. delicata')","Red","Control-Cold",19,0.4
"86","italic('L. delicata')","Red","Control-Cold",20,0
"87","italic('L. delicata')","Red","Control-Cold",21,0.6
"88","italic('L. delicata')","Red","Control-Cold",22,0.8
"89","italic('L. delicata')","Red","Control-Cold",23,0.8
"90","italic('L. delicata')","Red","Control-Cold",24,0.6
"91","italic('L. delicata')","Red","Control-Cold",25,0.4
"92","italic('L. delicata')","Red","Control-Cold",26,0.8
"93","italic('L. delicata')","Red","Control-Cold",27,1
"94","italic('L. delicata')","Red","Control-Cold",28,0.6
"95","italic('L. delicata')","Red","Control-Cold",29,0.8
"96","italic('L. delicata')","Red","Control-Cold",30,0.6
"97","italic('L. delicata')","Red","Control-Cold",31,0.6
"98","italic('L. delicata')","Red","Control-Cold",32,0.6
"99","italic('L. delicata')","Red","Control-Cold",33,0.8
"100","italic('L. delicata')","Red","Control-Hot",1,0.4
"101","italic('L. delicata')","Red","Control-Hot",2,0
"102","italic('L. delicata')","Red","Control-Hot",3,0.2
"103","italic('L. delicata')","Red","Control-Hot",4,0.5
"104","italic('L. delicata')","Red","Control-Hot",5,0.4
"105","italic('L. delicata')","Red","Control-Hot",6,0.4
"106","italic('L. delicata')","Red","Control-Hot",7,0.6
"107","italic('L. delicata')","Red","Control-Hot",8,0.4
"108","italic('L. delicata')","Red","Control-Hot",9,0.6
"109","italic('L. delicata')","Red","Control-Hot",10,0.8
"110","italic('L. delicata')","Red","Control-Hot",11,0.4
"111","italic('L. delicata')","Red","Control-Hot",12,0.5
"112","italic('L. delicata')","Red","Control-Hot",13,0.8
"113","italic('L. delicata')","Red","Control-Hot",14,0.8
"114","italic('L. delicata')","Red","Control-Hot",15,0
"115","italic('L. delicata')","Red","Control-Hot",16,0.4
"116","italic('L. delicata')","Red","Control-Hot",17,0.2
"117","italic('L. delicata')","Red","Control-Hot",18,0.6
"118","italic('L. delicata')","Red","Control-Hot",19,0.8
"119","italic('L. delicata')","Red","Control-Hot",20,0.4
"120","italic('L. delicata')","Red","Control-Hot",21,0.8
"121","italic('L. delicata')","Red","Control-Hot",22,0.8
"122","italic('L. delicata')","Red","Control-Hot",23,0.8
"123","italic('L. delicata')","Red","Control-Hot",24,1
"124","italic('L. delicata')","Red","Control-Hot",25,0.8
"125","italic('L. delicata')","Red","Control-Hot",26,1
"126","italic('L. delicata')","Red","Control-Hot",27,0.8
"127","italic('L. delicata')","Red","Control-Hot",28,0.8
"128","italic('L. delicata')","Red","Control-Hot",29,0.8
"129","italic('L. delicata')","Red","Control-Hot",30,0.6
"130","italic('L. delicata')","Red","Control-Hot",31,0.4
"131","italic('L. delicata')","Red","Control-Hot",32,0.4
"132","italic('L. delicata')","Red","Control-Hot",33,1
"133","italic('L. delicata')","Blue","CORT-Cold",1,0.5
"134","italic('L. delicata')","Blue","CORT-Cold",2,1
"135","italic('L. delicata')","Blue","CORT-Cold",3,1
"136","italic('L. delicata')","Blue","CORT-Cold",4,1
"137","italic('L. delicata')","Blue","CORT-Cold",5,0.5
"138","italic('L. delicata')","Blue","CORT-Cold",6,1
"139","italic('L. delicata')","Blue","CORT-Cold",7,0.8
"140","italic('L. delicata')","Blue","CORT-Cold",8,0.666666666666667
"141","italic('L. delicata')","Blue","CORT-Cold",9,0.666666666666667
"142","italic('L. delicata')","Blue","CORT-Cold",10,0.333333333333333
"143","italic('L. delicata')","Blue","CORT-Cold",11,0.833333333333333
"144","italic('L. delicata')","Blue","CORT-Cold",12,1
"145","italic('L. delicata')","Blue","CORT-Cold",13,0.833333333333333
"146","italic('L. delicata')","Blue","CORT-Cold",14,0.666666666666667
"147","italic('L. delicata')","Blue","CORT-Cold",15,0.833333333333333
"148","italic('L. delicata')","Blue","CORT-Cold",16,0.5
"149","italic('L. delicata')","Blue","CORT-Cold",17,0.666666666666667
"150","italic('L. delicata')","Blue","CORT-Cold",18,0.833333333333333
"151","italic('L. delicata')","Blue","CORT-Cold",19,0.666666666666667
"152","italic('L. delicata')","Blue","CORT-Cold",20,0.833333333333333
"153","italic('L. delicata')","Blue","CORT-Cold",21,0.833333333333333
"154","italic('L. delicata')","Blue","CORT-Cold",22,0.5
"155","italic('L. delicata')","Blue","CORT-Cold",23,0.833333333333333
"156","italic('L. delicata')","Blue","CORT-Cold",24,0.833333333333333
"157","italic('L. delicata')","Blue","CORT-Cold",25,0.666666666666667
"158","italic('L. delicata')","Blue","CORT-Cold",26,0.666666666666667
"159","italic('L. delicata')","Blue","CORT-Cold",27,0.333333333333333
"160","italic('L. delicata')","Blue","CORT-Cold",28,0.666666666666667
"161","italic('L. delicata')","Blue","CORT-Cold",29,0.666666666666667
"162","italic('L. delicata')","Blue","CORT-Cold",30,0.833333333333333
"163","italic('L. delicata')","Blue","CORT-Cold",31,0.833333333333333
"164","italic('L. delicata')","Blue","CORT-Cold",32,0.833333333333333
"165","italic('L. delicata')","Blue","CORT-Cold",33,0.833333333333333
"166","italic('L. delicata')","Blue","CORT-Hot",1,0.75
"167","italic('L. delicata')","Blue","CORT-Hot",2,0.5
"168","italic('L. delicata')","Blue","CORT-Hot",3,0.25
"169","italic('L. delicata')","Blue","CORT-Hot",4,0
"170","italic('L. delicata')","Blue","CORT-Hot",5,0.5
"171","italic('L. delicata')","Blue","CORT-Hot",6,0.333333333333333
"172","italic('L. delicata')","Blue","CORT-Hot",7,1
"173","italic('L. delicata')","Blue","CORT-Hot",8,0.5
"174","italic('L. delicata')","Blue","CORT-Hot",9,1
"175","italic('L. delicata')","Blue","CORT-Hot",10,0.8
"176","italic('L. delicata')","Blue","CORT-Hot",11,0.6
"177","italic('L. delicata')","Blue","CORT-Hot",12,0.75
"178","italic('L. delicata')","Blue","CORT-Hot",13,0.4
"179","italic('L. delicata')","Blue","CORT-Hot",14,0.75
"180","italic('L. delicata')","Blue","CORT-Hot",15,0.8
"181","italic('L. delicata')","Blue","CORT-Hot",16,0.4
"182","italic('L. delicata')","Blue","CORT-Hot",17,0.6
"183","italic('L. delicata')","Blue","CORT-Hot",18,1
"184","italic('L. delicata')","Blue","CORT-Hot",19,1
"185","italic('L. delicata')","Blue","CORT-Hot",20,1
"186","italic('L. delicata')","Blue","CORT-Hot",21,0.5
"187","italic('L. delicata')","Blue","CORT-Hot",22,0.75
"188","italic('L. delicata')","Blue","CORT-Hot",23,0.5
"189","italic('L. delicata')","Blue","CORT-Hot",24,0.75
"190","italic('L. delicata')","Blue","CORT-Hot",25,0.6
"191","italic('L. delicata')","Blue","CORT-Hot",26,1
"192","italic('L. delicata')","Blue","CORT-Hot",27,1
"193","italic('L. delicata')","Blue","CORT-Hot",28,0.6
"194","italic('L. delicata')","Blue","CORT-Hot",29,0.75
"195","italic('L. delicata')","Blue","CORT-Hot",30,0.6
"196","italic('L. delicata')","Blue","CORT-Hot",31,1
"197","italic('L. delicata')","Blue","CORT-Hot",32,0.8
"198","italic('L. delicata')","Blue","CORT-Hot",33,0.8
"199","italic('L. delicata')","Blue","Control-Cold",1,0.5
"200","italic('L. delicata')","Blue","Control-Cold",2,1
"201","italic('L. delicata')","Blue","Control-Cold",3,0.666666666666667
"202","italic('L. delicata')","Blue","Control-Cold",4,0.5
"203","italic('L. delicata')","Blue","Control-Cold",5,0.666666666666667
"204","italic('L. delicata')","Blue","Control-Cold",6,1
"205","italic('L. delicata')","Blue","Control-Cold",7,0.4
"206","italic('L. delicata')","Blue","Control-Cold",8,0.8
"207","italic('L. delicata')","Blue","Control-Cold",9,0.666666666666667
"208","italic('L. delicata')","Blue","Control-Cold",10,0.8
"209","italic('L. delicata')","Blue","Control-Cold",11,0.666666666666667
"210","italic('L. delicata')","Blue","Control-Cold",12,0.666666666666667
"211","italic('L. delicata')","Blue","Control-Cold",13,0.5
"212","italic('L. delicata')","Blue","Control-Cold",14,0.5
