"","Trial","Treatment","Group","Species","Mean_Predicted_prob","SE_Predicted_prob"
"69",5,"CORT-Hot","Blue","L. delicata",0.586382739706779,0.0905877620565965
"70",5,"CORT-Hot","Blue","L. guichenoti",0.598909517735893,0.1074587545522
"71",5,"CORT-Hot","Red","L. delicata",0.409923114773045,0.104227715461916
"72",5,"CORT-Hot","Red","L. guichenoti",0.300651359011893,0.0943410220137659
"73",5,"Control-Cold","Blue","L. delicata",0.757303807137585,0.0765352737463008
"74",5,"Control-Cold","Blue","L. guichenoti",0.634766254237791,0.122813175248285
"75",5,"Control-Cold","Red","L. delicata",0.352541401976036,0.0929397227232757
"76",5,"Control-Cold","Red","L. guichenoti",0.264401951783556,0.100411299771615
"77",5,"Control-Hot","Blue","L. delicata",0.553565115157965,0.0991022523841521
"78",5,"Control-Hot","Blue","L. guichenoti",0.577724060825664,0.105528933885434
"79",5,"Control-Hot","Red","L. delicata",0.402575803973186,0.110212396293781
"80",5,"Control-Hot","Red","L. guichenoti",0.363620607537039,0.103480652839535
"81",6,"CORT-Cold","Blue","L. delicata",0.662280370546395,0.0843691938764876
"82",6,"CORT-Cold","Blue","L. guichenoti",0.448300889220245,0.105864398639235
"83",6,"CORT-Cold","Red","L. delicata",0.223983674466306,0.0810920530944717
"84",6,"CORT-Cold","Red","L. guichenoti",0.128281329299574,0.0572845364251071
"85",6,"CORT-Hot","Blue","L. delicata",0.594025754330456,0.086702916681309
"86",6,"CORT-Hot","Blue","L. guichenoti",0.621997642960494,0.101414312214669
"87",6,"CORT-Hot","Red","L. delicata",0.424945556856388,0.102420417116654
"88",6,"CORT-Hot","Red","L. guichenoti",0.315008424851132,0.0926822921757617
"89",6,"Control-Cold","Blue","L. delicata",0.756567973464453,0.0736059847953438
"90",6,"Control-Cold","Blue","L. guichenoti",0.638577584299086,0.11864927692942
"91",6,"Control-Cold","Red","L. delicata",0.364714904753022,0.0916920171521568
"92",6,"Control-Cold","Red","L. guichenoti",0.281595165835525,0.0998866624907835
"93",6,"Control-Hot","Blue","L. delicata",0.566375078321781,0.0949121690583948
"94",6,"Control-Hot","Blue","L. guichenoti",0.592776027517936,0.1010479136837
"95",6,"Control-Hot","Red","L. delicata",0.42109215025366,0.108501545062781
"96",6,"Control-Hot","Red","L. guichenoti",0.380182658768205,0.101062402706177
"97",7,"CORT-Cold","Blue","L. delicata",0.665335992402156,0.0807579616610101
"98",7,"CORT-Cold","Blue","L. guichenoti",0.464420424077693,0.102743618330827
"99",7,"CORT-Cold","Red","L. delicata",0.240620601546089,0.0823584048289323
"100",7,"CORT-Cold","Red","L. guichenoti",0.140640817862002,0.0589795748168377
"101",7,"CORT-Hot","Blue","L. delicata",0.601640500675052,0.0829847295710669
"102",7,"CORT-Hot","Blue","L. guichenoti",0.644656053568255,0.0955382678551339
"103",7,"CORT-Hot","Red","L. delicata",0.440189793371162,0.100536081121805
"104",7,"CORT-Hot","Red","L. guichenoti",0.329880033054363,0.0909424148883745
"105",7,"Control-Cold","Blue","L. delicata",0.755774021471224,0.0708004666848601
"106",7,"Control-Cold","Blue","L. guichenoti",0.642340512180262,0.114792600993624
"107",7,"Control-Cold","Red","L. delicata",0.377130660062928,0.090396758555591
"108",7,"Control-Cold","Red","L. guichenoti",0.299669331180941,0.0991590874215345
"109",7,"Control-Hot","Blue","L. delicata",0.579154036159385,0.0908475955964317
"110",7,"Control-Hot","Blue","L. guichenoti",0.607713209561369,0.0967541108012274
"111",7,"Control-Hot","Red","L. delicata",0.439949914521889,0.106601345209563
"112",7,"Control-Hot","Red","L. guichenoti",0.397189393328297,0.0985347743067561
"113",8,"CORT-Cold","Blue","L. delicata",0.66835342951691,0.0773568267285197
"114",8,"CORT-Cold","Blue","L. guichenoti",0.480722571624278,0.0997326841578337
"115",8,"CORT-Cold","Red","L. delicata",0.258188088129772,0.0834604292019423
"116",8,"CORT-Cold","Red","L. guichenoti",0.154110791756371,0.0606410849542027
"117",8,"CORT-Hot","Blue","L. delicata",0.609217445630249,0.079466324008409
"118",8,"CORT-Hot","Blue","L. guichenoti",0.666756258210381,0.0899338797948651
"119",8,"CORT-Hot","Red","L. delicata",0.455623764496948,0.0985958140997828
"120",8,"CORT-Hot","Red","L. guichenoti",0.345246713319371,0.0891585982456371
"121",8,"Control-Cold","Blue","L. delicata",0.754920871362051,0.0681400325010621
"122",8,"Control-Cold","Blue","L. guichenoti",0.646047864850555,0.111287480441621
"123",8,"Control-Cold","Red","L. delicata",0.389773468174469,0.0890690436803977
"124",8,"Control-Cold","Red","L. guichenoti",0.31860518306617,0.0982512732915218
"125",8,"Control-Hot","Blue","L. delicata",0.591873390151077,0.0869547893873258
"126",8,"Control-Hot","Blue","L. guichenoti",0.622491460946924,0.0927015927790789
"127",8,"Control-Hot","Red","L. delicata",0.459092121236329,0.104535979162625
"128",8,"Control-Hot","Red","L. guichenoti",0.414599196116932,0.0959424790774427
"129",9,"CORT-Cold","Blue","L. delicata",0.671329729046718,0.0741960396713697
"130",9,"CORT-Cold","Blue","L. guichenoti",0.497156511287811,0.0968936933427158
"131",9,"CORT-Cold","Red","L. delicata",0.27667804526956,0.0843909567908393
"132",9,"CORT-Cold","Red","L. guichenoti",0.168754668719435,0.0622690815080554
