id,...1,...2,Lizard_id,Distance moved,Movement...5,Movement...6,...3
Statistics-Activity_trial01.xlsx,Trial    19,Arena 3,1565,499.50700000000001,69.918400000000005,1125.6099999999999,NA
Statistics-Activity_trial01.xlsx,Trial    20,Arena 1,1402,856.12800000000004,114.277,1048.74,NA
Statistics-Activity_trial01.xlsx,Trial    20,Arena 4,2255,1814.65,104.63800000000001,1034.74,NA
Statistics-Activity_trial01.xlsx,Trial    21,Arena 1,1419,311.92200000000003,34.521000000000001,1165.31,NA
Statistics-Activity_trial01.xlsx,Trial    21,Arena 2,1580,462.79,55.441699999999997,1127.1099999999999,NA
Statistics-Activity_trial01.xlsx,Trial    21,Arena 3,1613,901.42,135.20400000000001,1062.31,NA
Statistics-Activity_trial01.xlsx,Trial    21,Arena 4,1534,659.07600000000002,103.04300000000001,1096.99,NA
Statistics-Activity_trial01.xlsx,Trial    22,Arena 1,1424,522.46799999999996,72.079800000000006,1030.32,NA
Statistics-Activity_trial01.xlsx,Trial    22,Arena 2,2486,461.58,57.8399,1100.8399999999999,NA
Statistics-Activity_trial01.xlsx,Trial    22,Arena 3,2106,15.161199999999999,0.04,398.959,NA
Statistics-Activity_trial01.xlsx,Trial    22,Arena 4,1182,516.22699999999998,66.079800000000006,1133.3599999999999,NA
Statistics-Activity_trial01.xlsx,Trial    23,Arena 1,2351,669.45500000000004,77.959800000000001,1114.72,NA
Statistics-Activity_trial01.xlsx,Trial    23,Arena 2,1230,194.977,22.879899999999999,1177.1600000000001,NA
Statistics-Activity_trial01.xlsx,Trial    23,Arena 3,1487,341.61,44.679900000000004,1141.28,NA
Statistics-Activity_trial01.xlsx,Trial    24,Arena 1,1467,993.12800000000004,134.483,1052.6199999999999,NA
Statistics-Activity_trial01.xlsx,Trial    24,Arena 2,1340,560.91300000000001,74.401499999999999,1125.6199999999999,NA
Statistics-Activity_trial01.xlsx,Trial    24,Arena 3,1417,999.07399999999996,156.16300000000001,1021.46,NA
Statistics-Activity_trial01.xlsx,Trial    25,Arena 1,1328,620.02800000000002,82.947599999999994,1117.0899999999999,NA
Statistics-Activity_trial01.xlsx,Trial    25,Arena 2,1258,565.97500000000002,70.303399999999996,1110.8499999999999,NA
Statistics-Activity_trial01.xlsx,Trial    25,Arena 3,1408,28.150600000000001,3.1210399999999998,1196.92,NA
